Origin,Destination,Departure,Return,Onestop Count,Nonstop Count
JFK,OAK,2019-01-16,2019-01-20,0,0
LGA,OAK,2019-01-16,2019-01-20,14,0
LGA,SFO,2019-01-16,2019-01-20,19,0
LGA,SJC,2019-01-16,2019-01-20,8,0
MDW,OAK,2019-01-16,2019-01-20,27,5
MDW,SJC,2019-01-16,2019-01-20,21,2
ORD,OAK,2019-01-16,2019-01-20,0,0
BWI,SJC,2019-01-16,2019-01-20,17,0
DCA,OAK,2019-01-16,2019-01-20,12,0
BOS,OAK,2019-01-16,2019-01-20,13,0
BOS,SJC,2019-01-16,2019-01-20,4,0
BUR,MDW,2019-01-16,2019-01-20,21,2
BUR,ORD,2019-01-16,2019-01-20,0,0
MDW,ORD,2019-01-16,2019-01-20,0,0
BUR,SJC,2019-01-16,2019-01-20,0,19
BUR,EWR,2019-01-16,2019-01-20,5,0
BUR,JFK,2019-01-16,2019-01-20,0,0
